Actual,Predicted
0.2780393241001857,0.2824294049137542
0.7483947506764823,0.7464330214804581
0.2371575612765932,0.23053297055794186
0.2821061583453303,0.2652375980257363
0.2634845298911701,0.26392658317794104
0.4269049459138496,0.42999463912682695
0.5138057360058705,0.5121682259809882
0.7381207140813204,0.7403157174589958
0.720034209759542,0.7222902474895062
0.8472816385427733,0.8241577559041575
0.5323202475958853,0.5303756075476115
0.552868170957445,0.5563912579967623
0.5856164365236209,0.5913441663881808
0.2155393682461608,0.214343988241781
0.5547944658648445,0.5565924692510175
0.0,0.041086239167674635
0.5185145115900147,0.5189608189434753
0.7785744696366768,0.7742776322928586
0.3715753452145689,0.3571918015369905
0.7681934553040788,0.7784546506109876
0.4371789932110659,0.43501710937463345
0.8341181542354847,0.8283947147175788
0.2939854496150376,0.2925331985759161
0.1655607948296062,0.17309613584982575
0.8398971887864473,0.8449197245308272
0.687928046063184,0.6887992219863179
0.4120291007699252,0.41057791533437643
0.5444134622343009,0.5414254799566468
0.686215685226548,0.6974090224227516
0.2663741274320605,0.26183006246082874
0.2187500167219602,0.21609055883795886
0.3621574836866976,0.3604923252249072
0.0801584422055128,0.08451521051979428
0.4173801280526514,0.41274290158940685
0.4562286289334625,0.4567240989571043
0.7723672565846049,0.7713227944922343
0.2280607506836311,0.22916847155033235
0.7858519416555663,0.7851220073818064
0.4014341630686182,0.4005950391567844
0.4281892994822496,0.43091077084951257
0.5586472162104621,0.5651048817400499
0.1564639842366442,0.14713613351592172
0.1497217968809547,0.14501498084300113
0.1726241829489687,0.1823897913658008
0.5439854442640102,0.5449667979459166
0.4529110241243361,0.45185251505024626
0.7683005828702789,0.7706089608174446
0.5714898101136598,0.5723501711825735
0.214041091309052,0.2158048224356844
0.483625867216912,0.47866975216888347
0.9128852865392704,0.9194948974851274
